crawl_date,source,url,alt_text,url_text
2.02E+13,http://tucson.com/,http://amsarkadium-a.akamaihd.net/assets/global/game/webgl-jigsaw/5445c132-d39d-4fd8-aec6-5517fd6cba22/300x300.jpg,assets,assets
2.02E+13,http://www.townnews365.com/,http://bloximages.chicago2.vip.townnews.com/townnews365.com/content/tncms/assets/v3/editorial/8/7f/87f93890-83d2-11e5-8cd5-5f821876b9d3/5640f1068a6dc.image.png,Slideshow redirect | Home | BLOX CMS | Small devices,townnews365
2.02E+13,http://www.breezejmu.org/special_sections/prepping-for-the-parents/article_89f562da-0e42-11e2-8888-001a4bcf6878.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/00/000204ec-0e43-11e2-8f1e-001a4bcf6878/506dbe03daa96.image.jpg,L'Italia Restaurant,breezejmu
2.02E+13,http://www.breezejmu.org/life/local-shop-restores--year-old-steinway-piano/article_85bc1520-a4a3-11e4-9d69-6fa07c7dda27.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/03/00332610-a4de-11e4-a06b-7b57e6eebe59/54c5683419cfe.image.jpg,Steinway,breezejmu
2.02E+13,http://www.breezejmu.org/multimedia/photos/life/international-week-winning-photos/collection_41bb0b40-26f2-11e3-a4a3-001a4bcf6878.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/05/0058d362-26f2-11e3-adc6-001a4bcf6878/5244a6021dccf.image.jpg,Caitlin Shipman's prize-winning photo,breezejmu
2.02E+13,http://www.breezejmu.org/life/r-rated-youth/article_9eaa1642-0845-11e2-93f8-0019bb30f31a.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/06/0060064e-0846-11e2-88fa-0019bb30f31a/5063b1efb24d5.image.jpg,'subUrbia',breezejmu
2.02E+13,http://www.breezejmu.org/sports/men-s-basketball-gears-up-for-caa-tournament/article_6f2c1108-e0f6-11e5-84bf-3b3e72c8c63d.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/08/0083505c-e0ee-11e5-88a0-d3092dc80b92/56d7ac040c770.image.jpg,Joey McLean,breezejmu
2.02E+13,http://www.breezejmu.org/life/a-splash-of-inspiration-student-artist-founds-own-print-company/article_db0e752e-7d8b-11e5-90d3-b79901e029d9.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/0c/00c32f36-7d8b-11e5-9e77-6f316d5412ad/5630edbf2e94f.image.jpg,Sydni Brawley,breezejmu
2.02E+13,http://www.breezejmu.org/life/harrisonburg-firefighters-face-daily-challenges/article_d78295a8-973c-11e2-ae6f-001a4bcf6878.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/13/01304924-973b-11e2-a2d5-001a4bcf6878/515388f552b59.image.jpg,Harrisonburg Fire Department,breezejmu
2.02E+13,http://www.breezejmu.org/sports/men-s-golf-captures-big-tournament-win/article_01a18018-6569-11e5-a96b-1f1c8072816f.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/1b/01b303f6-6537-11e5-bd22-477f2db7295d/56081ce716e7d.image.jpg,Jack Floydd,breezejmu
2.02E+13,http://www.breezejmu.org/news/zika-virus-makes-its-way-into-harrisonburg/article_65627e22-db70-11e5-bcca-eba440931d5a.html,http://bloximages.newyork1.vip.townnews.com/breezejmu.org/content/tncms/assets/v3/editorial/0/1c/01c6445e-db64-11e5-b132-eb4d84ac9b74/56ce6103bbe04.image.jpg,Zika Virus Statistics,breezejmu
