Morpheme,Location,Example,Length,Frequency,Common
abil,prefix,capability,4,76,False
able,suffix,capable,4,1561,True
ably,suffix,capably,4,275,True
abol,prefix,abolish,4,60,False
acar,prefix,acariasis,4,64,False
ace,suffix,palace,3,910,True
acet,prefix,acetabulum,4,85,False
acid,prefix,acidiferous,4,89,False
acti,prefix,activate,4,301,True
acy,suffix,democracy,3,116,False
ac,prefix,autacoid,2,6863,True
ado,suffix,bravado,3,355,True
ade,suffix,blockade,3,909,True
aden,prefix,adenocarcinoma,4,77,False
ae,suffix,abruptio_placentae,2,1363,True
aer,prefix,aerobic,3,214,True
age,suffix,storage,3,1595,True
ag,embedded,demagogue,2,4318,True
agon,prefix,protagonist,4,131,False
agra,suffix,melagra,4,95,False
aire,suffix,concessionaire,4,87,False
eal,suffix,corneal,3,637,True
ial,suffix,differential,3,972,True
tal,suffix,abuttal,3,1115,True
al,suffix,gradual,2,13351,True
alac,prefix,alacrity,4,42,False
alb,prefix,albedo,3,124,False
ale,prefix,aleuromancy,3,945,True
alg,prefix,analgesic,3,154,False
ali,prefix,alias,3,2094,True
all,prefix,allegory,3,2439,True
alt,prefix,altimeter,3,459,True
ambl,prefix,preamble,4,84,False
ami,prefix,amiable,3,798,True
amm,prefix,amathophobia,3,421,True
amn,prefix,amniocentesis,3,75,False
ampl,prefix,ample,4,79,False
ana,suffix,apadana,3,823,True
ando,suffix,accelerando,4,154,False
andr,prefix,andradite,4,102,False
ane,suffix,germane,3,849,True
ang,prefix,angle,3,1240,True
anim,prefix,animal,4,87,False
anth,prefix,anther,4,191,False
aper,prefix,aperient,4,176,False
aph,prefix,aphaeomelanism,3,517,True
api,prefix,apian,3,344,True
apt,prefix,aptitude,3,262,True
aqu,prefix,acquacotta,3,168,False
ara,prefix,arability,3,1129,True
arc,prefix,archery,3,707,True
ard,prefix,ardent,3,1576,True
ard,suffix,aboard,3,1576,True
aret,prefix,aretaic,4,61,False
argu,prefix,argument,4,61,False
arma,prefix,armament,4,83,False
arm,suffix,overarm,3,558,True
ar,suffix,annular,2,14620,True
asco,prefix,ascocarp,4,63,False
arti,prefix,artiodactyl,4,213,True
art,prefix,artifact,3,1109,True
art,suffix,stalwart,3,1109,True
ance,suffix,assistance,4,572,True
ant,suffix,vigilant,3,2725,True
arm,prefix,armor,3,558,True
ary,suffix,budgetary,3,516,True
asc,prefix,ascidium,3,286,True
asia,suffix,abasia,4,58,False
asin,prefix,asinine,4,122,False
asis,suffix,psoriasis,4,71,False
asm,suffix,ectoplasm,3,172,False
ast,suffix,gymnast,3,1733,True
ata,suffix,vertebrata,3,671,True
atic,suffix,aquatic,4,297,True
athl,prefix,athlete,4,54,False
ati,suffix,digerati,3,2707,True
ator,suffix,agitator,4,739,True
aud,prefix,audible,3,239,True
aul,prefix,aulete,3,273,True
aur,prefix,aureate,3,236,True
aux,prefix,auxanogram,3,69,False
av,prefix,avarice,2,1969,True
avi,prefix,avian,3,440,True
axi,prefix,axis,3,258,True
axon,prefix,axon,4,46,False
az,prefix,phenomena,2,989,True
back,prefix,backporch,4,493,True
bac,prefix,baculiform,3,662,True
band,prefix,bandage,4,244,True
bare,prefix,barefaced,4,49,False
bar,prefix,abarognosis,3,826,True
bast,prefix,bastion,4,61,False
bas,prefix,basal,3,546,True
bath,prefix,batholith,4,90,False
bat,prefix,rebate,3,544,True
bel,embedded,embellish,3,545,True
ben,prefix,beneficence,3,284,True
be,prefix,bedeviled,2,4958,True
bib,prefix,bib,3,72,False
ble,suffix,humble,3,2517,True
blue,suffix,black-and-blue,4,107,False
bol,prefix,bole,3,361,True
bomb,prefix,bomb,4,82,False
bon,prefix,bonify,3,383,True
bore,prefix,borealis,4,78,False
born,suffix,baseborn,4,67,False
boun,prefix,bountiful,4,110,False
brac,prefix,bracelet,4,121,False
bri,prefix,abridge,3,653,True
brom,prefix,bromate,4,62,False
bull,prefix,bullectomy,4,142,False
burs,prefix,bursa,4,82,False
by,suffix,crabby,2,369,True
cade,suffix,arcade,4,96,False
cal,prefix,caldarium,3,1507,True
calc,prefix,calcite,4,81,False
camp,prefix,camp,4,125,False
cani,prefix,canicular,4,60,False
can,prefix,cane,3,869,True
capr,prefix,cab,4,40,False
caps,prefix,capsule,4,70,False
carn,prefix,carnage,4,79,False
carp,prefix,carpal,4,154,False
cart,prefix,cartoon,4,103,False
cast,prefix,caste,4,185,False
cast,suffix,die-cast,4,185,False
cath,prefix,catharsis,4,70,False
cav,prefix,cave,3,156,False
cel,prefix,ceiling,3,374,True
cele,suffix,colpocele,4,95,False
cen,prefix,cenotaph,3,675,True
cens,prefix,censure,4,79,False
cent,prefix,cent,4,371,True
cert,prefix,ascertain,4,47,False
cess,suffix,succession,4,88,False
chal,embedded,nonchalant,4,135,False
char,prefix,chariot,4,294,True
chem,prefix,chemistry,4,95,False
chir,prefix,chiral,4,79,False
chol,prefix,cholangiography,4,78,False
ch,suffix,birch,2,8718,True
cian,suffix,magician,4,63,False
cide,prefix,fratricide,4,164,False
cili,prefix,cilia,4,47,False
cil,suffix,council,3,162,False
circ,prefix,circle,4,64,False
cise,embedded,precision,4,152,False
cis,prefix,cislunar,3,513,True
cit,prefix,citation,3,440,True
civ,prefix,civic,3,68,False
clad,prefix,clade,4,42,False
clad,suffix,armor-clad,4,42,False
clam,prefix,proclaim,4,79,False
clar,prefix,clarity,4,63,False
clav,prefix,clavichord,4,55,False
cle,prefix,ecclesia,3,688,True
cle,suffix,cubicle,3,688,True
clim,prefix,climacteric,4,56,False
clin,prefix,decline,4,158,False
col,prefix,colander,3,808,True
coll,prefix,accolade,4,186,False
com,prefix,comedy,3,921,True
conn,embedded,reconnaissance,4,71,False
con,prefix,conic,3,1662,True
copi,prefix,copious,4,55,False
core,suffix,hardcore,4,104,False
cori,prefix,coriaceous,4,45,False
corn,prefix,bicorn,4,208,True
cosm,prefix,cosmic,4,57,False
cost,prefix,accost,4,74,False
cour,prefix,courier,4,169,False
crea,prefix,creation,4,171,False
cred,prefix,accreditation,4,51,False
crus,prefix,crusade,4,81,False
cry,suffix,cry,3,120,False
cub,prefix,incubation,3,107,False
cule,prefix,molecule,4,109,False
cult,prefix,cult,4,83,False
culp,prefix,culpability,4,44,False
cur,prefix,accuracy,3,669,True
curv,prefix,cavort,4,63,False
cut,prefix,cleancut,3,293,True
cut,suffix,clean-cut,3,293,True
cyan,prefix,cyanic,4,59,False
cycl,prefix,acyclic,4,179,False
cyst,prefix,cysteine,4,61,False
cyt,prefix,astrocyte,3,157,False
cy,suffix,hesitancy,2,1112,True
day,prefix,daylight,3,165,False
dec,prefix,decad,3,570,True
del,prefix,delete,3,478,True
demi,prefix,,4,96,False
demo,prefix,Damocles,4,89,False
den,prefix,denar,3,821,True
dens,prefix,condensable,4,86,False
dent,prefix,bident,4,218,True
derm,prefix,dermatology,4,116,False
de,prefix,decay,2,10096,True
dia,prefix,deacon,3,758,True
din,prefix,dinosaur,3,1393,True
dit,prefix,credit,3,453,True
di,prefix,diatomic,2,7727,True
dol,prefix,condolence,3,251,True
dom,suffix,freedom,3,405,True
dom,prefix,dame,3,405,True
done,suffix,overdone,4,56,False
don,prefix,condonation,3,371,True
dors,prefix,disendorse,4,81,False
down,prefix,download,4,282,True
do,prefix,anecdote,2,3776,True
dra,prefix,dramatic,3,606,True
dros,prefix,drosometer,4,53,False
dry,prefix,dryad,3,107,False
du,prefix,deuce,2,1720,True
dur,prefix,dour,3,176,False
dy,prefix,dyad,2,860,True
dys,prefix,dysentery,3,157,False
ean,suffix,antipodean,3,480,True
east,prefix,eastbound,4,110,False
ech,prefix,anechoic,3,507,True
eco,prefix,ecology,3,566,True
ecto,prefix,ectoderm,4,224,True
ecu,embedded,executive,3,287,True
ec,prefix,eccentric,2,4568,True
ied,suffix,married,3,688,True
ued,suffix,continued,3,156,False
ed,suffix,hopped,2,19268,True
ee,suffix,refugee,2,5045,True
een,suffix,canteen,3,593,True
eer,suffix,auctioneer,3,491,True
ego,prefix,egocentric,3,163,False
eg,prefix,egophony,2,1957,True
elig,prefix,eligible,4,44,False
elle,suffix,amarelle,4,499,True
eme,prefix,antiemetic,3,801,True
eme,suffix,academe,3,801,True
emul,prefix,emulator,4,56,False
end,suffix,crescendo,3,1249,True
end,suffix,addend,3,1249,True
ene,suffix,benzene,3,1434,True
ence,suffix,difference,4,407,True
endo,prefix,endocardial,4,182,False
enne,suffix,comedienne,4,133,False
ense,suffix,dense,4,164,False
ens,prefix,ensiferous,3,1255,True
ento,prefix,entoblast,4,166,False
ent,suffix,resplendent,3,3221,True
en,suffix,silken,2,13623,True
eous,suffix,courageous,4,187,False
equi,prefix,equidistant,4,138,False
equ,prefix,equestrian,3,320,True
ere,prefix,trierarch,3,2229,True
erel,suffix,pickerel,4,44,False
erly,suffix,easterly,4,84,False
ern,suffix,eastern,3,584,True
erot,prefix,erogenous,4,89,False
err,prefix,aberrance,3,627,True
ery,suffix,aviary,3,586,True
er,suffix,baker,2,30521,True
esce,suffix,coalesce,4,135,False
ese,suffix,Javanese,3,537,True
esic,suffix,geodesic,4,44,False
esis,suffix,genesis,4,139,False
ess,suffix,goddess,3,3826,True
est,suffix,strongest,3,4431,True
eso,prefix,esophoria,3,289,True
es,suffix,knives,2,31459,True
ete,suffix,concrete,3,1061,True
eth,prefix,ethic,3,507,True
eth,suffix,eightieth,3,507,True
etic,suffix,apathetic,4,312,True
ette,suffix,midget,4,540,True
eu,prefix,aneuploidy,2,1323,True
