text,size
Yes,86
Photo,44
trail,44
stations,44
Biking,26
bike,25
along,24
Water,23
walking,20
gravel,19
parking,19
like,17
crossing,17
Parking,16
filling,16
Bike,15
surface,15
Paved,15
water,15
Horse,15
town,14
Walking,14
natural,13
Gravel,13
areas,13
possible,13
connect,13
plants,12
area,12
bikes,11
traffic,11
river,11
etc,11
Trail,11
get,11
Places,11
Emergency,11
nature,11
access,11
walk,11
Food,11
lanes,10
Natural,10
biking,10
horse,10
Equine,10
instead,10
way,9
pavement,9
much,9
trees,9
charging,9
bottle,9
safety,9
riding,9
would,8
places,8
running,8
paved,8
exercise,8
signage,8
Benches,8
towns,8
Riding,8
Special,8
Consideration,8
Bridge,8
trails,8
service,8
history,8
poop,8
Native,7
gardens,7
people,7
shade,7
Signage,7
guests,7
rides,7
make,7
small,7
Restrooms,7
Safe,7
sign,7
Dog,7
keep,6
Rock,6
road,6
use,6
near,6
Historical,6
markers,6
Keep,6
horses,6
trailer,6
facilities,6
food,6
points,6
call,6
safe,6
take,6
footing,6
Everyday,6
getting,6
kids,6
Solar,6
Trash,6
Exercise,6
station,6
old,5
important,5
private,5
issues,5
good,5
Unpaved,5
especially,5
visible,5
Markers,5
Maybe,5
walkers,5
wildlife,5
stone,5
Good,5
features,5
signs,5
bottles,5
need,5
businesses,5
Would,5
every,5
tours,5
opportunities,5
beauty,5
ride,5
bridges,5
bags,5
Get,5
cream,5
camping,5
posts,5
interesting,5
Picnic,5
tables,5
could,5
picnic,5
local,5
Permanent,5
restrooms,5
porta,5
johns,5
folks,4
without,4
run,4
avoid,4
environment,4
least,4
Compacted,4
runnable,4
riparian,4
Make,4
Mile,4
Safety,4
riders,4
path,4
leave,4
Signs,4
locations,4
Easier,4
Car,4
lighting,4
one,4
drive,4
historic,4
show,4
Smooth,4
Crushed,4
limestone,4
side,4
solar,4
cameras,4
phones,4
spots,4
downtown,4
equine,4
key,4
Animal,4
disposal,4
powered,4
Horseback,4
days,4
safely,4
restaurants,4
physical,4
Near,4
Room,4
Hitching,4
cell,4
EBike,4
poor,4
Butterfly,4
pollinator,4
ones,4
native,4
geographic,4
allow,4
dogs,4
railway,4
love,4
Covered,4
phone,4
disposable,4
dog,4
also,4
produce,4
property,3
Prefer,3
better,3
control,3
crossings,3
car,3
CLEAR,3
biggest,3
Crossing,3
speed,3
separate,3
Features,3
available,3
note,3
demonstration,3
buffers,3
health,3
wheelchairs,3
electric,3
enough,3
Community,3
Reconstruct,3
Depots,3
original,3
hose,3
sanitary,3
well,3
services,3
snacks,3
idea,3
Trailhead,3
skate,3
push,3
stroller,3
provide,3
bridge,3
prefer,3
used,3
South,3
parallel,3
rails,3
crushed,3
ensure,3
security,3
Horses,3
Connect,3
stores,3
view,3
Separate,3
busy,3
want,3
Saturday,3
Sunday,3
Weekdays,3
cafes,3
Weekend,3
back,3
Grocery,3
Dining,3
fear,3
hit,3
ground,3
Festival,3
Ice,3
vehicle,3
Wifi,3
cellular,3
peope,3
work,3
Great,3
cycling,3
stops,3
Rail,3
sure,3
Nature,3
Attraction,3
visits,3
Woodstock,3
peacefulness,3
concerns,3
Electric,3
Enganging,3
supply,3
pauses,3
bowls,3
amenities,3
farms,3
front,3
royal,3
know,3
escape,3
strolling,3
shop,3
Green,3
pet,3
bowl,3
attractions,3
Rte,3
